centre_place_id,centre_name,sports
ChIJi9oIzaRm5kcRJYcK7QsdRMU,"Foot-Max Argenteuil",soccer
ChIJiQuEX3joQIYRrK99NAG9BjM,"Lets Play!",soccer
ChIJj70TyWiL3EcR7iZ1fa-JRNk,"DK Park / LE FIVE Dunkerque",soccer
ChIJjUbM5G7A9EcRW3mlkrhyXxY,"F5 Foot Five",soccer
ChIJk-ujvdYv4EcRXoLCtLvjW7I,"Five Factory Le Havre",soccer
ChIJk5nUBdOkrhIRP-1aUJzo-lA,"UrbanSoccer - Toulouse Sept Deniers",soccer
ChIJk7CiF_xCtBIRIBZ_Q1ozEQg,"Soccer Team Alès",soccer
ChIJl772e0u8rhIR2foRX4Xa2CI,"UrbanSoccer - Toulouse Montaudran",soccer
ChIJmdX-2c-A5kcRj1wtOS8rZmo,"UrbanSoccer Guyancourt",soccer
ChIJmz3whejH9EcR3j9ApNRukKE,"LE FIVE OL",soccer
ChIJn2R2NT905kcRjqB29qldBxk,"VERSUSFOOT Thiais",soccer
ChIJn7xJyorytRIR5fCxB3seBOs,"BALL CONCEPT Monplaisir",soccer
ChIJnVE47IHn5UcRr5XRwCaPE38,"Le CR5",soccer
ChIJo-3LeLXsBUgRu6gtAgQ6sJA,"Le Sporting Nantes",soccer
ChIJoTqB5CJmkUcRheYL3WcGzXo,"Sport4lux Munsbach",soccer
ChIJoUEDcmvr9EcRILCz6hDCQ2o,"Sport dans la Ville Rhône-Alpes",soccer
ChIJoUR0syFp5kcRUlStnwluaYY,"FOOT IN FIVE",soccer
ChIJodpwmbLblEcRGk4-_FQorf4,"LE FIVE Metz",soccer
ChIJofRGnUSbkUcRzYQUtJAexeE,"GFC Foot Indoor Mulhouse",soccer
ChIJpZIJg7J45kcRrKWKhtbfnEQ,"UrbanSoccer Orsay",soccer
ChIJqzie9xRL5kcRyg89AlwL55E,"S-FIVE5",soccer
ChIJrd55eqy9_UcRafBnS1pNdaU,"Foot&Balls",soccer
ChIJrfgrMK9awokR-Z5O20hCD3w,"Socceroof Sunset Park",soccer
ChIJsRLZzKFg5kcRBCfNws9nssw,"Kaiser Park",soccer
ChIJsUuykglKw4ARCHx7QxSVhoY,"SOFIVE - RANCHO CUCAMONGA",soccer
ChIJsXi1PLYN5kcRTVVDuczgS2s,"LE FIVE Champigny",soccer
ChIJsYfwe3n75EcRnjpH9sw356Q,"LE FIVE Orléans Fleury",soccer
ChIJs_yKhaPvwkcRtt71kMRaz8A,"LE FIVE Valenciennes",soccer
ChIJsb_7TJFp5kcRSPL5VqZulr4,"BIG5",soccer
ChIJt-kZfv622YgR4PrDZCA7JCw,"Soctainer Miami",soccer
ChIJt_AXL6Jg5kcRu6rBmnrmeUM,"Le Street Beauchamp",soccer
ChIJteaBh_koVQ0RqH2VtN-qL5I,"LE FIVE Bordeaux",soccer
ChIJuTCIFshm5kcRBtEQJ76dAzc,"Foot POWER 5",soccer
ChIJu_DTlg8I2YgRQGdsz5y09e0,"Shooting Stars Indoor Soccer",soccer
ChIJv9owGLm-yRIRfuDnd3G6nR4,"MONCLUB 2.0",soccer
ChIJvcCWluNtsBIRYScZxAbEtxQ,"Le Temple FIVE Center",soccer
ChIJvytTY_JdwokRVMSxK5pjEyU,"Sofive Brooklyn",soccer
ChIJwU28MyyB5kcRHVcpV1mkYVo,"Foot à 5 @ Le club le Village",soccer
ChIJwdUawmfVwkcRaNLo_CmNii0,"Spot FUTSAL",soccer
ChIJwdVDuwo-kkcR5rIoryU9p4k,"Le Classico 70 Héricourt",soccer
ChIJx3FQWjLC9EcRrrQb2eV7i_4,"UrbanSoccer - Lyon Parilly",soccer
ChIJxSxBZ0rmyRIRD43lI6mPqdE,"Mondial Soccer Martigues",soccer
ChIJxWBxmALaVA0Rop0OWS3Q3fY,"UrbanSoccer - Bordeaux Mérignac",soccer
ChIJxZ6UmMW-yRIR7ot5DChYj4w,"Massilia Five",soccer
ChIJxZ6UmMW-yRIRfYNGGPPJfIU,"Massilia Foot Indoor 2",soccer
ChIJxcqO6tTqQIYRnAUZYsEpl_s,"Houston Sports Park",soccer
ChIJydcoT88ow0cRLnHvlF-Z_jE,"KIPSTADIUM",soccer
ChIJyfJZiyPaVA0RlY6_mDcql7U,"GINGA Foot Mérignac",soccer
ChIJz6UVWpa22YgRUJImJbvFehM,"Downtown Soccer Miami",soccer
ChIJzRK7HJy_yRIRqEreyEiAfC0,"Le Mercato FOOT INDOOR",soccer
ChIJzUFPDv_v5EcRG6gmhm_t_HA,"LE FIVE Orléans Ingré",soccer
ChIc7ot9ESvGhIRqni6q0J6B4fY,"LE FIVE Rouen",soccer
ChIeaIuWCc7lUcRhgvoCbAgwIc,"Soccer Arena Manom",soccer
ChIemIPT3S7dEkcRHYSOAnApZaA,"L'ÉTINCELLE Sélestat",soccer
ChIJLdkocwBh5kcR14AXaHHKBaw,"IMPULSTAR PARK",soccer
