DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE
0AlfRmgBwrrU56BV7Z04,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-11-08T21:00:00.000Z
0AnhF8k3fC8lgOxonR9g,LE FIVE Paris 18,canceled,pro,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-12-09T12:15:00.000Z
0B2hLkdnbdZy3U35zWKo,Stade Pierre Letessier,published,captain,ChIJmcO_CLgS5kcR_tYXn2vhXNs,48.8750074&2.4964236,2023-12-31T09:45:00.000Z
0B8TCWpjV8qGHnCbPERr,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-11-01T17:45:00.000Z
0BKavgzC7CFMj4wPjjoU,Top Ten,played,pro,ChIJfXprBx4b5kcRmhe-5pLZUek,48.8729106&2.6840919,2023-10-09T15:00:00.000Z
0Bxzdf9PgpAkyYQWKOcV,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-16T18:00:00.000Z
0CAvOPZHnr0dtiKnLt2R,Parc Interdépartemental des Sports du Tremblay,canceled,captain,ChIJBVkfrQ4N5kcRGi-XnNQN_yo,48.8281085&2.491365,2023-11-18T15:30:00.000Z
0CB33Z4jnM9nlDp0oAoI,Stade Parfait Lebourg,canceled,captain,ChIJXdP-tHUK5kcRzMpBMEOwKU8,48.69499829999999&2.5092223,2023-10-25T18:15:00.000Z
0CZJzbvNMjahumY1U3ad,Evolution Football,played,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2023-09-26T17:30:00.000Z
0Ck89PvAmzjG3zjKv9if,Play Soccer,played,captain,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-29T17:30:00.000Z
0CkRc7K52hLJVC2s3yes,Élite 5 Soccer,canceled,captain,ChIJ5-jfdlZk5kcRYIaELgvikaM,48.9009153&2.2297275,2023-11-09T17:30:00.000Z
0Cl8Ket1EqGJ5QppDJWe,Centre sportif Suzanne Lenglen,played,captain,ChIJjyw8lw975kcRB8dEmGn3P0Q,48.8302835&2.2740847,2024-01-04T11:15:00.000Z
0CobgVmYUQp1TA5LzROe,Halle Georges Carpentier,canceled,captain,ChIJnXkSwCty5kcR-nlHXNFQlg4,48.82020139999999&2.3672361,2024-02-19T14:30:00.000Z
0CwLE8bcM1PvrWFmYJVF,LE FIVE Sarcelles,published,captain,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,48.99782219999999&2.3902225,2024-01-11T23:00:00.000Z
0D3OpfQxhXyxYUJXdCyr,Footbox,published,pro,ChIJY-WkusIR5kcR-tEad3UtaSQ,48.9022789&2.582647,2024-03-02T19:00:00.000Z
0D4QMJIcTzh4LxFQkSL6,Le 13 - Foot en salle - Marseille,played,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2024-01-26T18:30:00.000Z
0DEKlSnSJDyZIOCcXTiQ,Halle Georges Carpentier,published,captain,ChIJnXkSwCty5kcR-nlHXNFQlg4,48.82020139999999&2.3672361,2024-02-12T14:30:00.000Z
0DPA0V2ieui5DQmmiAc1,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-10-25T18:00:00.000Z
0DVIDjAMEj7HRqp1kzJx,Stade de foot Pompadour,canceled,captain,,48.773015&2.432866,2023-09-03T11:00:00.000Z
0Dd3wQ6mBU19TluHUJqw,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-12-23T15:00:00.000Z
0Dj26hTcMpWTICuX4lFU,Monclub Futbol,played,captain,ChIJGbxxaamUyRIRgGvhHnhJStA,43.4299152&5.4001974,2023-12-21T18:00:00.000Z
