REPEATER_ID,ADDRESS,CENTRE,DURATION,EXPECTED_TIME,FIRST_OCCURRENCE,LOCATION_LATITUDE,LOCATION_LONGITUDE,MAX_PLAYERS,ORGANIZER,PLACE_ID,PRICE,STATUS,TIME,TIME_ZONE,WEEKDAY
IyF8EUsXxXK9T29xiqPj,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,17:00,2023-11-06T13:18:33.496Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,5,published,2023-11-06T16:00:00.000Z,Europe/Paris,2
Iz6osbYeijAKyliqbDgh,"9 Av. de la Prte de Choisy, 75013 Paris, France",LE FIVE Paris 13,60,23:00,2023-09-02T11:41:59.156Z,48.8181615,2.3658793,10,FjSnzlRFFfhWVWQJGfIEwRc2ZMj2,ChIJ_bOSChhz5kcRZMTeq_6Gdzg,10,published,2023-09-02T21:00:00.000Z,Europe/Paris,1
J2JsnMvh8fUzDDPduKIn,"187 Rte de Saint-Leu, 93800 Épinay-sur-Seine, France",FOOT IN FIVE - ÉPINAY-SUR-SEINE,90,18:30,2023-09-19T09:01:41.894Z,48.9552257,2.3328346,10,fSh9muNltcVTK0WIVstxyAAnx7V2,ChIJoUR0syFp5kcRUlStnwluaYY,15,canceled,2023-09-19T16:30:00.000Z,Europe/Paris,4
J9WOQAZVfMyxh0bGlVSA,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,60,17:30,2024-03-07T17:42:23.039Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,10,published,2024-03-07T16:30:00.000Z,Europe/Paris,3
J9bRypsse2o07cskyQBI,"10 Rue Henri de France, 95870 Bezons",LE FIVE Bezons,90,20:00,2023-08-31T14:22:59.873Z,48.91909,2.2093051,10,U3MriTZbPbTUEsU6RtRuHxDMKvg2,ChIJ04KEHBZk5kcRoDWLaMOCCwQ,15,published,2023-10-31T19:00:00.000Z,Europe/Paris,7
JKDu2Y6nqEA8dddftm7F,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,90,10:00,2023-11-22T20:14:49.028Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,10.5,published,2023-11-22T09:00:00.000Z,Europe/Paris,3
JLjhScdWzrp3e8NfVFpO,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,90,17:30,2023-11-22T20:20:12.084Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,11.5,published,2023-11-22T16:30:00.000Z,Europe/Paris,5
Jj46PODOJLkKSkP87CRx,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,60,17:30,2024-03-07T17:42:47.990Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,10,published,2024-03-07T16:30:00.000Z,Europe/Paris,5
K1nrPQbswDsedVroIWKt,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,18:00,2024-02-06T12:22:29.695Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,10,published,2024-02-06T17:00:00.000Z,Europe/Paris,6
K25ntICCSMEIKBL2yx5g,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-13T21:15:19.543Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-13T16:00:00.000Z,Europe/Paris,4
K8tTGmZg7PVylewP4B6j,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,15:00,2023-08-29T13:37:02.881Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,8,published,2023-10-04T13:00:00.000Z,Europe/Paris,5
KeToy0AJVa27eL0qNt7Y,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-11T20:04:28.075Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-13T16:00:00.000Z,Europe/Paris,1
KygbzXGXt9NqYilGZP4B,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,90,22:30,2023-11-22T20:14:21.285Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,13.5,published,2023-11-22T21:30:00.000Z,Europe/Paris,2
L2csM6tdlYTwWJ5mt47U,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,60,23:00,2023-11-22T20:11:32.132Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,8,published,2023-11-22T22:00:00.000Z,Europe/Paris,
L2jO5HIt6Rcj5DRcKHRI,"187 Rte de Saint-Leu, 93800 Épinay-sur-Seine, France",FOOT IN FIVE - ÉPINAY-SUR-SEINE,90,18:00,2023-09-19T09:00:54.818Z,48.9552257,2.3328346,10,fSh9muNltcVTK0WIVstxyAAnx7V2,ChIJoUR0syFp5kcRUlStnwluaYY,15,canceled,2023-09-19T16:00:00.000Z,Europe/Paris,3
LE9Ut7UMt16xt2cOLqPq,"113 Rue de Curembourg, 45400 Fleury-les-Aubrais, France",LE FIVE Orléans Fleury,60,22:30,2024-03-06T11:44:35.400Z,47.9415754,1.9358176,10,aK807pAjR0fYf1xp6STGgehCREy2,ChIJsYfwe3n75EcRnjpH9sw356Q,9.5,published,2024-03-06T21:30:00.000Z,heure normale d’Europe centrale,4
LJzm8Jum2Qj6drOyy81f,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,90,22:20,2023-09-07T22:10:08.990Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,10,published,2023-09-08T20:20:00.000Z,Europe/Paris,5
LKQCbdzksMBE5YRyyTKe,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,60,17:00,2023-08-30T19:23:38.961Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,5,published,2023-08-30T15:00:00.000Z,Europe/Paris,3
LNXzdEmFrhriokZ6mUQl,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,15:00,2023-08-29T13:36:45.582Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,8,published,2023-10-04T13:00:00.000Z,Europe/Paris,4
LQ6WqUGUBW04vwFg199u,"10 Rue Henri de France, 95870 Bezons",LE FIVE Bezons,90,22:00,2023-08-31T14:19:38.786Z,48.91909,2.2093051,10,U3MriTZbPbTUEsU6RtRuHxDMKvg2,ChIJ04KEHBZk5kcRoDWLaMOCCwQ,14,published,2023-11-01T21:00:00.000Z,Europe/Paris,2
LvENQsKo7ypNhFYsxZrs,"17 Rue Marcelin Berthelot, 92160 Antony, France",Speed Soccer Five,90,18:00,2024-02-09T17:10:44.760Z,48.7360598,2.315058,10,MkTJljXziPXBdRdijccndMLBNCC3,ChIJ2xTNglV25kcR3UDi4AXGfDU,13,published,2024-02-09T17:00:00.000Z,Europe/Paris,2
MMsbDYpvRN5dyc7UOeBd,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,22:30,2023-11-06T14:11:54.155Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,16.5,published,2024-01-10T21:30:00.000Z,Europe/Paris,5
MN3hRoxmWjDnay27ELd9,"113 Rue de Curembourg, 45400 Fleury-les-Aubrais, France",LE FIVE Orléans Fleury,60,22:30,2024-03-06T11:43:07.168Z,47.9415754,1.9358176,10,aK807pAjR0fYf1xp6STGgehCREy2,ChIJsYfwe3n75EcRnjpH9sw356Q,9.5,published,2024-03-06T21:30:00.000Z,heure normale d’Europe centrale,2
MZeeOnCCyK0ty7gjcy9T,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,60,23:00,2023-11-22T20:20:35.677Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,8,published,2023-11-22T22:00:00.000Z,Europe/Paris,5
McAqWY7vD4HFlAZgiSNa,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,18:00,2023-08-29T13:43:07.419Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,14,published,2023-08-29T16:00:00.000Z,Europe/Paris,5
MvcbkHOuYY2MiV09dnds,"187 Rte de Saint-Leu, 93800 Épinay-sur-Seine, France",FOOT IN FIVE - ÉPINAY-SUR-SEINE,90,18:00,2023-09-19T08:19:18.562Z,48.9552257,2.3328346,10,fSh9muNltcVTK0WIVstxyAAnx7V2,ChIJoUR0syFp5kcRUlStnwluaYY,15,canceled,2023-09-19T16:00:00.000Z,Europe/Paris,1
N36086UyIelFoNho5J8d,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,19:00,2024-02-06T12:05:06.575Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,10,published,2024-02-06T18:00:00.000Z,Europe/Paris,2
NDonYTrPH3VOtWxdoT9X,"Zone Europarc, 1 Rue le Corbusier, 94000 Créteil, France",LE FIVE Créteil,60,17:00,2023-09-05T13:03:45.744Z,48.7643086,2.4706522,10,ZmXMWx7aTdPoPkkGOWa2HIQVblq2,ChIJ88lx3VwL5kcRVxCh4lD6_Gk,7,published,2023-09-05T15:00:00.000Z,Europe/Paris,2
NL4L4VvOjs04wcnm2KkO,"26 Rue Hélène et François Missoffe, 75017 Paris, France",LE FIVE Paris 17,60,17:00,2023-09-07T12:16:30.599Z,48.900032,2.3213449,10,V6mqbc9C8FNa1RQlUupjeoqOsZL2,ChIJ7eI8sFNv5kcR5xy52Wc57NU,5,published,2023-09-07T15:00:00.000Z,Europe/Paris,3
NfkMPSp3iDALFjkl9UE3,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,15:00,2023-08-29T13:36:05.873Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,8,published,2023-10-04T13:00:00.000Z,Europe/Paris,2
NtsmHoLTa2XFsmqGMSbX,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,20:00,2024-02-06T12:22:41.963Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,10,published,2024-02-06T19:00:00.000Z,Europe/Paris,6
O1SukStKTgy28XjB99gg,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,23:00,2024-02-06T12:24:34.526Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,10,published,2024-02-06T22:00:00.000Z,Europe/Paris,7
OvsL5IcJpi6Fcai3sLMN,"Zone Europarc, 1 Rue le Corbusier, 94000 Créteil, France",LE FIVE Créteil,60,17:00,2023-09-05T13:04:45.134Z,48.7643086,2.4706522,10,ZmXMWx7aTdPoPkkGOWa2HIQVblq2,ChIJ88lx3VwL5kcRVxCh4lD6_Gk,7,published,2023-09-05T15:00:00.000Z,Europe/Paris,5
P2ZSZ7PMKIoat80GWw0z,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,60,17:00,2023-08-30T19:24:01.039Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,5,published,2023-08-30T15:00:00.000Z,Europe/Paris,4
PJeBOkIFpynSOuoThcH2,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-14T22:34:19.134Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-15T16:00:00.000Z,Europe/Paris,5
PUdWFve5G0HFnZzgp0Sa,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,90,22:20,2023-08-30T05:41:34.581Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,10,published,2023-08-30T20:20:00.000Z,Europe/Paris,2
PdqXMT8SKQovc3ua6tep,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,23:00,2023-11-06T14:09:42.801Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,16.5,published,2023-11-06T22:00:00.000Z,Europe/Paris,5
Pm8OfVlf0ha4SEHNgXbr,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,16:00,2023-08-29T13:38:56.399Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,8,published,2023-10-04T14:00:00.000Z,Europe/Paris,4
Q3ZKuqtFo2f8eOMeVAmM,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,14:00,2024-02-06T11:57:41.862Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,7,published,2024-02-12T13:00:00.000Z,Europe/Paris,1
Qaur5xUSyJOR0BDUXuv4,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,60,16:00,2023-11-22T20:26:15.701Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,10,published,2023-11-22T15:00:00.000Z,Europe/Paris,6
QbW6jferHduXooUf8Xkt,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-12T06:24:57.188Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-12T16:00:00.000Z,Europe/Paris,3
Qn0LvXqQjy2FX4rp8TLN,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-11T19:31:21.699Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-11T16:00:00.000Z,Europe/Paris,2
QxBCtC8pPCIN8hwdlXZl,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,12:00,2023-11-08T09:39:50.190Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,5,published,2023-11-08T11:00:00.000Z,Europe/Paris,4
