user_id,role
FeSDs4tliXTs8mtjwaqPOOobYt12,player
FsQGmZtHKSPx4FY1pI1LqHJBNGf2,player
FwPOsHE0V6cImLQUHR8FZ55dHBi2,player
FywI3tK63xYbkps8Yo1pGPgCqKD2,player
G13HLMrrUAaXM95cX6GCW0sUsL63,player
G2ZKVK7twoa7oe7us98gEg1IqqC3,player
G3qhWYMtvqaPtzJl5brV57BL0353,
G4ZTKuekE8YNZcpWfUt4QXhfpll2,player
G5NqFBrQzDesJHmAlKQHMQzfbK53,player
GebGJLYVbkg5XsIf9xZY8KVQdu63,
GelNpbi4UOQQZ82zqB8f2hGydHX2,
Gf4XIsdnRVXaJgQTefk8qr6JN6k1,player
Go65A1Z4LBcVpiiWF0GIRUbM8mT2,player
Gzbe5xfizxM1AIkfjGT4ZIP6lKh1,player
H8HC4PQFF2hX6sP3MwK6zfgZqXB3,player
HA4eYpqbBHbqORnZHe2bet6sDE53,player
HAwgJsQJPNYXmHPry2nDgt4A1do2,
HUakojFG4BRmQhnCRf5Sqo27T1z1,player
HeibXSkCyrPs7ZMF9rT14cPvLYH3,player
Hf9F8kuAxUVEdUAiev7zNStzCVq2,player
HgfpwrtYdla2jv5vBTRMDWuam7I3,
I5jdsov6NrgbN2sVIX0IdcG6YHq2,player
ICuKJnCt7ZPjGdvuePVzDwCgH6E3,
IDfX2MUsp3WMMlYwa5HNHtr9SEw2,
IFHT5cPZQcbhM5aK6ibDTqvABAS2,
ILTUmm6WcbdJicS7B328bsOmycI2,
IcMd8xGJNwh3CUjKDrfIt5TxaXl1,
Ig6meOB1jucr42eVYAk2kCFuqOU2,player
IvOFvZyM1Zf1n3toOVaaiePHMtV2,
IwxAzPsQqeO0i8UpIOKykXdCoH52,player
J51m6Cd7smODmji2dY3pXaX3uC23,
JKueSytWBFhQZNVhPlGsV8dkB5o2,player
JM4kwvKmxFYturxSQ2YKrPg4gyx2,
JgUAcYwx0iQCXy4uIMkJpKgMdt13,player
Ji43nhPqhoTyIdZBBApqvlP7OP43,captain
JnC2B7zuHbWCCegwg98IIZrPOPA3,
Jq1J97yduybhT8cTVsztbUSlLA52,
JyF693y7DLf7L94coAkkSVGF7RD2,player
K8sCZFZ2lWcZ3z8Olhf6l59i0Vz2,player
K97swqiUUbRxBkFKRDsPXS9Ak3C3,
KVzGmg8UOAXwsQxivI3Iwb04QUC3,player
KWz9DPxGJOPBanpnPiRn9Jnth8j2,
Kda3fDYHUIakVEcPwFmLdoPqYh32,
KeKr0Kt0bxbV70dXY3DjYHe89XJ2,captain
KsEAklJiF4gZAcikQAXSjVJtpjy1,
L0MRz3qcyhRFvaOYtJ3tRN4FCck1,
L9jzkVDUtvc7Xmp0bC85hrT8tty2,player
LErwrmvtnbYYp4E1Kq7xlX1hXnA2,player
LF0Jw9CUR6h2ZRYs9qdHL4qo5jr2,
LHENDg3UgcUg97bcvRs1SWxcjGo1,player
LOCYYZtQHmQ6XbPWFglAZBvMDOx2,player
LPkmkICkrHfFIWUvTPzasMWZsDR2,captain
LSpaxvwfWLdpPpqguxP85kLf5Pd2,player
LU4JzyEjQuW43i89uWeH0j13PW32,
LdESZqVvx6dd3ZnqE2a56GQAk3q1,
Lebki4Oi0OVtP2it1aaMbkfUSPW2,
LtBJ7xETADUXh9Kxb2eUBVQrSMG2,
LyaBezS47gWu0n8P42ozfIqJswS2,player
M8MWgJOlR0hOLmxxHJGzJa1h7zd2,
MLgZlwLs9NXeTI9wXvQvWgH4MGJ2,player
MOGcYIjdTiXPH93ZvLv2EAcj4zr2,player
MQxb6fSFvUdMf6KqkBccb1XXnSE2,player
MUccSaN2lnS0fNhTnJlRUkFV9Ns1,
MV3kbumyOQZWzNdfn0dR7tuHKA32,player
Mhebj5Ddp8WiJ42mQtBjQHcOu6q2,player
My2PvCclkKdiXWOqk5kL269VWvv2,player
MyGjDK3eG0dI1OzpPaljZKvfbBj2,player
N0D3skPNgLT6DZLIa4sA3sBzvjC3,player
NAb3k28rDQRLayRSRE9Znck1Ysl1,player
NFGDwf0w6hRVSWt0RsWwMl0lUqw2,
NHfievxmWqVM6bCWI3miTOi9i3o1,
NJeWnFo3UvOf0tVUvKh9yLfeBwi1,player
