CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Parc des Sports Alfred-Marcel Vincent,7,2,3,2,0,3,0,7
Gymnase Municipal Maurice Baquet,7,2,5,0,0,1,1,6
Stade Georges Racine,7,1,2,4,0,3,0,7
LE FIVE Lens-Liévin,7,2,1,4,0,5,0,7
UrbanSoccer - Grenoble,6,3,2,1,0,4,6,0
La Ferme Du Moulin Neuf,6,0,2,4,0,1,0,6
Gymnase Irène Joliot-Curie,6,2,3,1,0,3,0,6
Terrain de football extérieur,6,3,2,1,0,1,0,6
Stade du Chenil,6,1,2,3,0,1,0,6
FOOTMAX,6,2,0,4,0,3,0,6
Foot à 5@Le club le Village,6,1,4,1,0,4,0,6
Stade de la Motte les associés,6,3,1,2,0,5,0,6
LE FIVE Mulhouse,6,3,1,2,0,3,0,6
Terrain Multisport de Gency,6,0,2,4,0,2,0,6
École Maternelle,6,1,4,1,0,1,0,6
Le City terrain de foot,6,0,2,4,0,1,0,6
Parc Sportif du Pré Saint-Jean,6,0,5,1,0,3,0,6
Stade François Desmont,6,1,3,2,0,5,0,6
Stade de la grenouillère,6,1,1,4,0,5,0,6
Stade de la Cité de l'Air,6,1,5,0,0,3,0,6
UrbanPadel Lognes - Marne-la-Vallée,6,0,1,5,0,6,2,4
Gymnase Vaugirard Littré,6,0,6,0,0,2,0,6
UrbanSoccer - Bordeaux Mérignac,6,1,4,1,0,3,6,0
4PADEL Boulogne-Billancourt,6,2,2,2,0,5,0,6
UrbanPadel Porte d'Aubervilliers,6,2,0,4,0,4,0,6
Gymnase de la Pointe d'Ivry,6,0,3,3,0,1,0,6
Stade Fernand Coutif,5,0,2,3,0,2,0,5
Salle Marie Paradis,5,2,0,3,0,3,0,5
S-FIVE5,5,5,0,0,0,3,0,5
FIVE ARENA - 5 FIVE ⚽️ & 2 PADEL 🎾,5,1,3,1,0,3,0,5
FIVE ARENA MEAUX,5,2,1,2,0,5,0,5
Centre Sportif Léon Biancotto,5,0,1,4,0,4,0,5
UrbanSoccer - Montpellier,5,2,0,3,0,4,5,0
