CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Foot & Co Passins/Morestel,2,1,0,1,0,1,0,2
Gymnase Paul Meurice,2,1,0,1,0,1,0,2
LE COMPLEXE Salon-de-Provence,2,1,0,1,0,2,0,2
Centre Sportif Docteurs Dejerine,2,0,2,0,0,2,0,2
Gymnase municipal,2,0,1,1,0,1,0,2
Gassama Mamoudou,2,1,1,0,0,1,0,2
Stade du Cœur Volant,2,1,1,0,0,2,0,2
UrbanSoccer - Dijon,2,2,0,0,0,2,2,0
La Courneuve - Aubervilliers,2,1,0,1,0,1,0,2
Grigny Football 91,2,1,1,0,0,1,0,2
Stade Dian,2,0,1,1,0,2,0,2
LE FIVE VITROLLES,2,2,0,0,0,1,2,0
Stade des Esselieres,2,1,0,1,0,1,0,2
Five Star Fish Bar,2,1,1,0,0,1,0,2
Centre Sportif de la Porte d'Asnières,2,1,0,1,0,2,0,2
Collège Descartes,2,2,0,0,0,2,0,2
Mise a l'eau de l'estaque,2,0,1,1,0,1,0,2
Cavalieri Sports Center,2,2,0,0,0,1,0,2
Decathlon Village Marseille Bouc Bel Air,2,1,1,0,0,2,0,2
Terrain de Football du Square Léon,2,2,0,0,0,2,1,1
Stade du Bois de l'Etang,2,0,0,2,0,1,0,2
Stade Charles Auray,2,0,1,1,0,2,0,2
Stade Rouge,2,0,0,2,0,1,0,2
Stade Eugène Cognevaut,2,1,1,0,0,2,0,2
Centre sportif des Courtilles,2,1,0,1,0,2,0,2
Stade Roger Lebert,2,0,1,1,0,2,0,2
Stade Vincent Pascucci,2,1,0,1,0,1,0,2
Cannes Soccer 5,2,2,0,0,0,1,0,2
Le Luth,2,0,0,2,0,2,0,2
Gymnase Jean Guimier,2,0,1,1,0,2,0,2
Stade Lénine,2,0,2,0,0,2,0,2
Bearwood Foot Surgery,2,0,2,0,0,1,0,2
LE FIVE Nancy,2,1,1,0,0,2,0,2
Stade Just Fontaine,2,1,0,1,0,2,0,2
Centre Sportif Jules Ladoumègue,2,0,0,2,0,2,0,2
Centre commercial Croix-de-Chavaux,2,1,1,0,0,1,0,2
Entente Sportive Saint-Priest,2,0,1,1,0,2,0,2
Stade municipal,2,2,0,0,0,1,0,2
Complexe Sportif Maurice Baquet,2,1,1,0,0,1,0,2
Association Jeunesse Bourgetine,2,0,1,1,0,1,0,2
City Stade Sud Bagneux,2,1,1,0,0,1,0,2
Complexe Sportif et Stade Nautique Jean Bouin,2,0,1,1,0,1,0,2
Gymnase Auguste Delaune,2,1,0,1,0,2,0,2
Stade de la Molière,2,1,1,0,0,1,0,2
Stade Ange Lassus,2,2,0,0,0,2,0,2
Hoops Factory Paris-Villette,2,0,1,1,0,1,0,2
Stade de la Muette,2,0,1,1,0,1,0,2
Mairie de Evry-Gregy-sur-Yerres,2,1,1,0,0,1,0,2
Terrain de foot - Résidence Leonard de Vinci,2,0,2,0,0,1,0,2
Stade Jean Bouin,2,0,0,2,0,2,0,2
Gymnase Jean Moulin,2,1,0,1,0,1,0,2
École de la 2e Chance de Marseille,2,2,0,0,0,1,0,2
Gymnase du Jeu de Paume,2,1,1,0,0,1,0,2
Complexe Sportif des Fillettes,2,0,0,2,0,2,0,2
Stade du Chat Perché,2,0,1,1,0,1,0,2
4PADEL Paris 20,2,1,0,1,0,2,0,2
Porte d'Italie,2,0,0,2,0,1,0,2
STADE PIERRE BOURDAN,2,0,2,0,0,2,0,2
Terrain de football,2,2,0,0,0,2,1,1
S.G.S.T.C (Sainte Genevieve Sports Tennis Club),2,0,0,2,0,1,0,2
Lyon PESD,2,0,1,1,0,1,0,2
Gymnase Glacière,2,2,0,0,0,2,0,2
Stade Alfredo-Di-Stéfano,2,1,1,0,0,1,0,2
Champions Five,2,1,1,0,0,2,0,2
Kremlin-Bicêtre United,2,0,2,0,0,1,0,2
Complexe Melissa Delaveuve,2,2,0,0,0,1,0,2
City Nanterre,2,0,1,1,0,2,0,2
Gymnase du Pérollier,2,0,1,1,0,1,0,2
Parc du Bois de mon Cœur,2,0,0,2,0,1,0,2
Camp des Loges (complexe sportif),2,0,1,1,0,2,0,2
Club 42 Indoor,2,1,0,1,0,2,0,2
Centre Sportif Parisien de Puteaux,2,0,0,2,0,2,0,2
الملعب الجواري حي 8 مارس terrain de foot 8 Mars,2,1,0,1,0,1,0,2
Stade jacky rivière,2,1,1,0,0,1,0,2
Tennis Club Les Lilas,2,1,0,1,0,1,0,2
FK Igman Ilidža,2,1,1,0,0,2,0,2
INDOOR Center,2,2,0,0,0,1,0,2
Padel 91,2,0,0,2,0,1,0,2
AS TOULOUSE LARDENNE Football,2,0,0,2,0,1,0,2
4PADEL Argenteuil,2,0,0,2,0,2,0,2
City-Stade,2,0,0,2,0,1,0,2
Stade Gaston Frémont,2,0,2,0,0,1,1,1
Centre culturel Alban-Minville,2,0,0,2,0,2,0,2
Stade Youri Gagarine,2,0,1,1,0,2,0,2
Complexe Sportif Poterne des Peupliers,2,0,2,0,0,1,0,2
Complexe Sportif de Courcelle,2,0,0,2,0,2,0,2
UrbanSoccer - Rennes Cap Malo,2,1,0,1,0,2,2,0
Halle des sports,2,1,1,0,0,1,0,2
MONT FOOT 5,2,1,0,1,0,2,0,2
Centre Sportif et Socio-Culturel Pierre et Marie Curie,2,0,1,1,0,1,0,2
Paris Padel,2,2,0,0,0,2,0,2
Complexe sportif Marcel Paul,2,1,1,0,0,2,0,2
Padelistes,2,0,1,1,0,1,0,2
Z5 Padel Aix,2,2,0,0,0,2,0,2
Globall Sports Centers - Brooklyn,2,0,0,2,0,1,0,2
Terrain Adolphe Max,2,1,0,1,0,1,0,2
Stade Municipal Louis Raffegeau,2,1,0,1,0,2,1,1
Gymnase Auguste Renoir,2,1,1,0,0,1,0,2
LE FIVE Colomiers,2,0,0,2,0,1,0,2
Draveil Football Club,2,1,0,1,0,1,0,2
Stade Cousteau,2,1,1,0,0,1,0,2
Gymnase Louis Issaurat,2,2,0,0,0,2,0,2
Stade de Rugby de l'Hippodrome d'Auteuil,2,0,0,2,0,2,0,2
Stade Remond Rousseau,2,0,1,1,0,1,1,1
Parc Youri Gagarine,2,1,0,1,0,1,0,2
Home Padel,2,0,0,2,0,1,0,2
Maison des jeunes Guy Moquet,2,0,0,2,0,2,0,2
Forest Hill - La Défense,2,0,0,2,0,2,0,2
Square Jules Ferry,2,0,0,2,0,1,0,2
Complexe Sportif Gironis,2,0,1,1,0,2,0,2
Stade de football René LENSEL,1,1,0,0,0,1,0,1
Stade du Polygone,1,0,0,1,0,1,0,1
THE SOC5CER - Montauban,1,1,0,0,0,1,0,1
Centre omnisports universitaire Carole Vergne,1,0,1,0,0,1,0,1
U.S. Métropolitaine des Transports Paris,1,0,1,0,0,1,0,1
Stade BEN ARFA,1,1,0,0,0,1,0,1
Taverny,1,0,1,0,0,1,0,1
FIFA Street Alost - Terrain de football De Brug,1,0,0,1,0,1,0,1
Zara,1,0,0,1,0,1,0,1
Club de foot de Villejean,1,1,0,0,0,1,0,1
Stade Saint Louis Rive Verte,1,0,0,1,0,1,0,1
Stade de Vanves,1,0,0,1,0,1,0,1
Stade de Vanves Tennis,1,0,0,1,0,1,0,1
Football 5 Club,1,0,0,1,0,1,0,1
US Lognes Football,1,0,1,0,0,1,0,1
FAC-HABITAT Résidence Philosophia,1,0,1,0,0,1,0,1
Soccer City Miami,1,0,0,1,0,1,0,1
The five Soccer,1,1,0,0,0,1,0,1
Parc de la Pompadour,1,0,1,0,0,1,0,1
Football Club Des Balmes Du Nord-isere,1,1,0,0,0,1,0,1
Stade de la Viabert,1,0,0,1,0,1,0,1
ULTRA FABRON - PADEL et FOOTBALL,1,1,0,0,0,1,0,1
Stade René Dewerpe,1,1,0,0,0,1,0,1
Stade Municipal,1,1,0,0,0,1,0,1
City stade du Parc Georges Bazin,1,0,1,0,0,1,0,1
Gymnase de Saint Branchs,1,0,1,0,0,1,0,1
Salle des Sports Paul Claudel,1,1,0,0,0,1,0,1
Maison des Sports - Complexe sportif Jean-Moulin,1,0,1,0,0,1,0,1
Complexe du Val de l'Arc,1,0,1,0,0,1,0,1
Stade alice miliat,1,0,0,1,0,1,0,1
Ball Five Augusta,1,0,0,1,0,1,0,1
Stade Gtitouch,1,1,0,0,0,1,0,1
Stade de la Batarelle,1,0,0,1,0,1,0,1
Stade Paul Vaillant-Couturier,1,0,0,1,0,1,0,1
Stade des Poissonniers,1,0,0,1,0,1,0,1
Stade du Racinay,1,1,0,0,0,1,0,1
"EATT ,Stade d'athlétisme Kevin Mayer",1,0,0,1,0,1,0,1
Porte Brancion,1,1,0,0,0,1,0,1
Saint Quentin - Mesnil Sports Club,1,1,0,0,0,1,0,1
Stade de la Madeleine,1,1,0,0,0,1,0,1
Stade de la Jalade,1,0,0,1,0,1,0,1
Gymnase de la Justice,1,0,1,0,0,1,0,1
Terrain de Football et Basketball de Rueil-Malmaison,1,0,0,1,0,1,0,1
Stade Jean-Miaud,1,0,0,1,0,1,0,1
Ecopark Adventures Créteil Pompadour | Accrobranche 94,1,0,0,1,0,1,1,0
Complexe Sportif Auguste Delaune,1,0,0,1,0,1,0,1
Bilston Urban Village Medical Centre,1,0,1,0,0,1,1,0
Stafford Town Football Club - Evans Park Ground,1,0,1,0,0,1,0,1
VERSUSFOOT Thiais,1,0,0,1,0,1,0,1
Play Arena Besançon,1,0,0,1,0,1,0,1
LE PARK Noisy,1,0,0,1,0,1,1,0
Maison de santé Paul-Verlaine,1,1,0,0,0,1,0,1
Foot Locker,1,0,1,0,0,1,0,1
Wolverhampton United Football Club,1,0,1,0,0,1,0,1
Five Pizza Original - Asnières Sur Seine,1,1,0,0,0,1,0,1
UCPA La Courneuve,1,1,0,0,0,1,0,1
Stade du Moulin,1,1,0,0,0,1,0,1
Terrain de sport Cardinal Lavigerie,1,1,0,0,0,1,0,1
Centre Sportif de la Cavale blanche,1,0,0,1,0,1,0,1
Complexe sportif Lucien Veyrat,1,1,0,0,0,1,0,1
Stade de la Botte,1,1,0,0,0,1,0,1
Stade Raoul Brulat,1,1,0,0,0,1,0,1
Cavalieri di Colombo,1,0,0,1,0,1,0,1
LE FIVE Orléans Fleury,1,1,0,0,0,1,0,1
Arena Foot Béziers,1,1,0,0,0,1,0,1
Urban House Marconi,1,1,0,0,0,1,1,0
Foot Choisy,1,0,1,0,0,1,0,1
Osny,1,1,0,0,0,1,0,1
Stade Marc-Vivien Foé,1,0,0,1,0,1,0,1
St Stephen's Church,1,0,1,0,0,1,0,1
Hadley Stadium,1,0,1,0,0,1,0,1
Centre Commercial Carrefour Francheville,1,0,0,1,0,1,0,1
Gymnase Makowski,1,0,1,0,0,1,0,1
C.O. COURCOURONNES Tennis,1,1,0,0,0,1,0,1
Maisons-Alfort - Stade,1,0,1,0,0,1,0,1
Urban Fitness Roma Prati,1,0,0,1,0,1,1,0
BALL CONCEPT Monplaisir,1,1,0,0,0,1,0,1
Stade de Football du petit saint mars,1,0,0,1,0,1,0,1
Gymnase Docteur Bourneville - Kellermann,1,1,0,0,0,1,0,1
Stade Lucien Morane,1,0,0,1,0,1,0,1
Parc à chien,1,0,1,0,0,1,0,1
Centre Sportif Pierre de Coubertin,1,0,0,1,0,1,0,1
Football Club de Vaulx En Velin,1,1,0,0,0,1,0,1
Epion Foot Clinic - Chasetown,1,0,1,0,0,1,0,1
PRISME,1,1,0,0,0,1,0,1
Parc Josette et Maurice Audin,1,0,0,1,0,1,0,1
Picard,1,0,1,0,0,1,0,1
Stade Jacques Joly,1,0,1,0,0,1,0,1
Terrains multisports (hand/foot/basket...),1,0,1,0,0,1,0,1
Gymnase Marcel Gentilini,1,0,0,1,0,1,0,1
Complexe Sportif de la Poterne,1,1,0,0,0,1,0,1
Résidence ENSTA,1,0,1,0,0,1,0,1
Gymnase du Parc,1,0,1,0,0,1,0,1
St Stephens Court,1,0,1,0,0,1,0,1
Stade des Rigondes,1,0,0,1,0,1,0,1
Terrain de la Sapinière,1,1,0,0,0,1,0,1
Complexe Sportif Bretagne,1,1,0,0,0,1,0,1
AS Hellemmes Football,1,0,0,1,0,1,0,1
Stade Philippe Struxiano,1,0,0,1,0,1,0,1
Hippodrome d'Auteuil,1,0,1,0,0,1,0,1
Centre Sportif Municipal Alain Mimoun,1,0,0,1,0,1,0,1
Tennis de la Vertonne,1,0,0,1,0,1,0,1
Terrain d'entrainement,1,0,0,1,0,1,0,1
"B14 - club de Padel, Badminton et Pickleball 🎾",1,0,1,0,0,1,0,1
Fusion Five,1,0,0,1,0,1,0,1
Stoke City FC Academy Dome,1,0,1,0,0,1,0,1
Stade des Guilands,1,0,0,1,0,1,0,1
Stade Jean Moulin,1,0,0,1,0,1,0,1
Association Bourgetine du Nord ( ABN ),1,0,0,1,0,1,0,1
Cosec,1,0,0,1,0,1,0,1
UrbanSoccer - Clermont Aubière,1,1,0,0,0,1,1,0
UrbanSoccer - Lisboa,1,0,0,1,0,1,1,0
Tootsie Foot Healthcare and Therapy,1,0,1,0,0,1,0,1
Génération Foot,1,0,0,1,0,1,0,1
Stade Max Rousié,1,0,0,1,0,1,0,1
Brierley Hill Foot Clinic,1,0,1,0,0,1,0,1
West Bromwich Albion Stadium Megastore,1,0,1,0,0,1,0,1
Stade Gaëlle Mignot,1,0,0,1,0,1,0,1
Stade Paul Fischer,1,1,0,0,0,1,0,1
Stade de Boissy-l'Aillerie,1,1,0,0,0,1,0,1
Montmorency Futsal,1,0,0,1,0,1,0,1
Ball In d'Or Dreux,1,1,0,0,0,1,0,1
Stade du Ponceau,1,0,1,0,0,1,0,1
Stade Promis USJ,1,1,0,0,0,1,0,1
PDS • Parc des Sports et de loisirs,1,0,0,1,0,1,0,1
Best Foot Forward Podiatry,1,0,1,0,0,1,0,1
École Maternelle Publique Albert Camus,1,0,0,1,0,1,0,1
Birmingham City Football Club,1,0,1,0,0,1,0,1
Stade Robert Desnos,1,0,0,1,0,1,0,1
Urban Fitness,1,0,1,0,0,1,1,0
ASD Smash padel Fuorigrotta,1,1,0,0,0,1,0,1
Thiais Football Club,1,0,0,1,0,1,0,1
Ultra Padel Club,1,1,0,0,0,1,0,1
Stade Avelghem,1,0,0,1,0,1,0,1
Sportfield,1,0,0,1,0,1,0,1
Stade René Rousseau,1,0,0,1,0,1,0,1
St. Stephens Church Birmingham,1,0,1,0,0,1,0,1
Sportfield Lyon 7,1,0,1,0,0,1,0,1
Morningside Tennis Center,1,0,0,1,0,1,0,1
Maison de la famille et de la parentalité,1,0,0,1,0,1,0,1
Stade du Coudray,1,0,0,1,0,1,0,1
Stade des Cerisiers,1,0,0,1,0,1,0,1
Institut National des Sciences Appliquées de Toulouse,1,0,1,0,0,1,0,1
Saint-Pierre-lès-Elbeuf,1,1,0,0,0,1,0,1
AU FIVE Saint Raphaël,1,1,0,0,0,1,0,1
Dika Nsangue Akwa Dika Georges Noel,1,0,0,1,0,1,0,1
Adventure Playground at Cannock Stadium Park,1,0,1,0,0,1,0,1
Foot 5 Yutz • FFF,1,1,0,0,0,1,0,1
AU FIVE,1,1,0,0,0,1,0,1
Aix Université Club Football,1,0,1,0,0,1,0,1
UCPA Sport Station Meudon Squash,1,1,0,0,0,1,0,1
Urban Padel - Club de Padel Puteaux-Ile,1,0,1,0,0,1,0,1
Le Vert de Maisons,1,1,0,0,0,1,0,1
Tours Foot Indoor Ex Le Five,1,1,0,0,0,1,0,1
Sporting Club Draguignan,1,1,0,0,0,1,0,1
Complexe sportif Léo-Lagrange,1,0,0,1,0,1,0,1
Stoke City Football Club,1,0,1,0,0,1,0,1
Stade du Fremoy,1,0,0,1,0,1,0,1
Goal In d'Or,1,0,0,1,0,1,0,1
Gymnase des Fossés Jean,1,0,0,1,0,1,0,1
Newcastle Town FC,1,0,1,0,0,1,0,1
west midlands police and partnerships HUB,1,0,1,0,0,1,0,1
Terrain de Football de Rue,1,0,0,1,0,1,0,1
Lycée Jehan de Chelles,1,1,0,0,0,1,0,1
Racing Club de Joinville,1,0,0,1,0,1,0,1
Coquelicot Padel,1,1,0,0,0,1,0,1
Seynod Football,1,1,0,0,0,1,0,1
Stade Rémy Ferey,1,1,0,0,0,1,0,1
Midlands Air Ambulance Charity (ABHQ) Airbase Headquarters,1,0,1,0,0,1,0,1
Piscine et Stade Municipal,1,0,0,1,0,1,0,1
Loisir Center,1,0,0,1,0,1,0,1
TERRAIN DE FOOTBALL synthetique COMPLEXE SPORTIF DESCARTES,1,0,1,0,0,1,0,1
Wolverhampton Lawn Tennis & Squash Club,1,1,0,0,0,1,0,1
Stade Emile Anthoine,1,0,1,0,0,1,0,1
Dunstall Park Greyhound Stadium,1,0,1,0,0,1,0,1
Shifnal Town F C,1,0,1,0,0,1,0,1
Leek Town FC,1,0,1,0,0,1,0,1
Five Ways Car Park - Tennant Street,1,0,1,0,0,1,0,1
Futbol Futbol Artigues,1,0,0,1,0,1,0,1
Skatepark de Marcq-en-Baroeul,1,0,0,1,0,1,0,1
Community Allotments at Cannock Stadium Park,1,0,1,0,0,1,0,1
4PADEL Lille Seclin,1,1,0,0,0,1,0,1
Gymnase (Des Cahouettes),1,0,0,1,0,1,0,1
Terrain de Football du Parc des Glacières,1,0,1,0,0,1,0,1
Judo Club Orgemont,1,0,0,1,0,1,0,1
Gymnase Charles Péguy,1,1,0,0,0,1,0,1
Stade Jesse Owens,1,1,0,0,0,1,0,1
Courbevoie Sports Fooball,1,0,1,0,0,1,0,1
Fit Five - Forest,1,1,0,0,0,1,0,1
Grundschule an der Johann-Schmid-Straße,1,1,0,0,0,1,0,1
Complexe Sportif Communal de Cabasse,1,1,0,0,0,1,0,1
Cosec Mirail Synthétique,1,1,0,0,0,1,0,1
West Bromwich Albion Football Club,1,0,1,0,0,1,0,1
GDR TENNIS PADEL GUIPAVAS,1,1,0,0,0,1,0,1
UrbanPadel - Club de Padel Lille Bondues,1,1,0,0,0,1,0,1
Dojo Complexe Sportif des Bleuets,1,1,0,0,0,1,0,1
Le Temple FIVE Center,1,1,0,0,0,1,0,1
Skatepark de Fontenay-aux-Roses,1,0,0,1,0,1,0,1
Renault Noisiel - Groupe Sofibrie,1,1,0,0,0,1,0,1
ALJT,1,0,1,0,0,1,0,1
École Paul Langevin,1,0,0,1,0,1,0,1
TOAC Padel,1,0,0,1,0,1,0,1
Stade des Malassis,1,1,0,0,0,1,0,1
Camp des Loges,1,0,1,0,0,1,0,1
Foot&Balls - Foot en salle - Foot 5,1,1,0,0,0,1,0,1
Stade Desaix,1,0,0,1,0,1,0,1
Football Fun Factory - Stafford and Cannock,1,0,1,0,0,1,0,1
Le Six Deux,1,0,0,1,0,1,0,1
Gymnase Descartes,1,0,0,1,0,1,0,1
Marché de Croix-de-Chavaux,1,0,1,0,0,1,0,1
Stade Jean Jacques,1,0,0,1,0,1,0,1
Le Corner - Football - Bar & Tapas - Karaoké - jeux Dordogne,1,0,0,1,0,1,0,1
Arena Foot Bouznika,1,1,0,0,0,1,0,1
Stade des Frères Grail,1,1,0,0,0,1,0,1
École de Paris des Métiers de la Table,1,0,0,1,0,1,0,1
Stade Vuillermet,1,1,0,0,0,1,0,1
Gymnase Joanny Pourtier,1,1,0,0,0,1,0,1
Stade du Moulin Neuf,1,0,0,1,0,1,0,1
Complexe sportif de Caintin,1,0,0,1,0,1,0,1
Padel-Horizon,1,1,0,0,0,1,0,1
Padel garden,1,1,0,0,0,1,0,1
WRC PADEL,1,0,0,1,0,1,0,1
Socceroof Le Plateau,1,0,0,1,0,1,0,1
KICK OFF Academy Foot & Padel,1,1,0,0,0,1,0,1
Palais des Sports Robert Charpentier,1,0,0,1,0,1,0,1
Stade de Mortemai,1,0,0,1,0,1,0,1
Paris Anim' - Centre Dunois,1,0,0,1,0,1,0,1
Padel District,1,1,0,0,0,1,0,1
Stade Jean Dato,1,1,0,0,0,1,0,1
Résidence étudiante Palladium Paris - Cardinal Campus,1,0,1,0,0,1,0,1
Centre sportif Didot,1,0,1,0,0,1,0,1
Casa Padel DOS,1,0,0,1,0,1,0,1
Stade Ledeuc,1,0,1,0,0,1,0,1
RIE Les Beaux Soleils,1,0,1,0,0,1,0,1
Salle polyvalente de l'Orangerie,1,1,0,0,0,1,0,1
4PADEL Strasbourg,1,0,0,1,0,1,0,1
Square du Sergent Aurélie Salel,1,0,0,1,0,1,0,1
Saint Brice Sous Forêt,1,0,0,1,0,1,0,1
Urban Soccer,1,0,0,1,0,1,1,0
gymnase René Huard,1,1,0,0,0,1,0,1
Padel 15,1,0,0,1,0,1,0,1
Urban Corp.,1,0,0,1,0,1,1,0
FootBall Club Morangis Chilly,1,0,0,1,0,1,0,1
Sports Field,1,0,1,0,0,1,0,1
Club On padel,1,0,0,1,0,1,0,1
New Padel Club,1,1,0,0,0,1,0,1
Soccer Center,1,1,0,0,0,1,0,1
Terrain de sport Parmentier,1,0,0,1,0,1,0,1
City de Cergy le haut,1,0,0,1,0,1,0,1
Skatepark de Saint-Denis,1,1,0,0,0,1,0,1
Stade Auxerrois Football,1,1,0,0,0,1,0,1
Asnières Volley 92,1,1,0,0,0,1,0,1
Parc Paul Bert,1,1,0,0,0,1,0,1
Square des Jardiniers,1,0,0,1,0,1,0,1
Stadium Lille Métropole,1,0,1,0,0,1,0,1
Le Classico 70 Héricourt,1,1,0,0,0,1,0,1
Forest Hill - Versailles,1,0,0,1,0,1,0,1
Gymnase Laura Flessel,1,0,0,1,0,1,0,1
SEVRES FUTSAL USF,1,1,0,0,0,1,0,1
Parc,1,0,1,0,0,1,0,1
Vernier FC,1,0,0,1,0,1,0,1
Cityfoot,1,1,0,0,0,1,0,1
Stade De Foot,1,0,0,1,0,1,0,1
Stade Velpeau,1,1,0,0,0,1,0,1
Complexe René valmy,1,0,0,1,0,1,0,1
Padel des 11&12 - Richard Miron,1,1,0,0,0,1,0,1
Parc Interdépartemental des Sports,1,0,0,1,0,1,0,1
Cityball futsal & padel,1,1,0,0,0,1,0,1
Gymnase Thomas Masaryk,1,0,1,0,0,1,0,1
Brooklyn Force Soccer,1,1,0,0,0,1,0,1
PadelShot Saint-Quentin-en-Yvelines,1,1,0,0,0,1,0,1
PADEL GARONA,1,1,0,0,0,1,0,1
Urban Padel - Club de Padel Evry,1,0,1,0,0,1,0,1
PADFIVE,1,1,0,0,0,1,0,1
Futsal Du Comtat,1,1,0,0,0,1,0,1
Stade de la Habette,1,0,1,0,0,1,0,1
2V2 Padel Club,1,0,1,0,0,1,0,1
Tennis Padel Club Gémenos,1,0,0,1,0,1,0,1
Padel @UCPA Sport Station,1,1,0,0,0,1,0,1
Ace Padel - Club de Padel à Évry (91),1,1,0,0,0,1,0,1
Ruocco Arena,1,0,1,0,0,1,0,1
Stade Tobrouk,1,0,0,1,0,1,0,1
Stade de la Fontaine aux Coulons,1,1,0,0,0,1,0,1
Université de Lille,1,0,0,1,0,1,0,1
Soccer Arena Manom,1,1,0,0,0,1,0,1
Le Five · Créteil,1,0,1,0,0,1,0,1
MAIF - SIEGE SOCIAL,1,0,0,1,0,1,0,1
LE FIVE Saint-Louis La Réunion,1,1,0,0,0,1,0,1
Sofive Brooklyn,1,1,0,0,0,1,0,1
Breizh Soccer,1,0,0,1,0,1,0,1
PUMA Playground of African Football,1,1,0,0,0,1,0,1
Stade De Tremblay En France.,1,0,0,1,0,1,0,1
Complexe Sportif Marcel Cerdan,1,1,0,0,0,1,0,1
Fondation Maison du Liban - Cité Internationale Universitaire de Paris,1,1,0,0,0,1,0,1
Stade Saint Tronc Régny,1,1,0,0,0,1,0,1
Parc des Sports Raymond Troussier,1,1,0,0,0,1,0,1
Plaine de Jeux du Bois de l’Étang,1,0,0,1,0,1,0,1
Stade Municipal de Vaux-le-Pénil,1,0,0,1,0,1,0,1
Gymnase de Courdimanche,1,0,0,1,0,1,0,1
Lou Tennis Club,1,1,0,0,0,1,0,1
Gymnase Carlier,1,0,1,0,0,1,0,1
Mairie de Claye-Souilly,1,0,1,0,0,1,0,1
Gymnase G Carpentier,1,0,1,0,0,1,0,1
ALL IN PADEL Décines | Centre de padel Indoor Premium à Lyon | Jo-Wilfried Tsonga & Thierry Ascione,1,1,0,0,0,1,0,1
Le Klube Dijon,1,1,0,0,0,1,0,1
ALL IN PADEL Villefranche | Club de padel by Jo-Wilfried Tsonga & Thierry Ascione,1,1,0,0,0,1,0,1
BADPAD,1,1,0,0,0,1,0,1
Gymnase des Ecrins,1,0,1,0,0,1,0,1
Gymnase des Postillons,1,0,1,0,0,1,0,1
Complexe Sportif Henri Terré,1,1,0,0,0,1,0,1
Carré Padel,1,0,0,1,0,1,0,1
Senart padel,1,1,0,0,0,1,0,1
Périgny,1,0,1,0,0,1,0,1
Grande Mosquée de Chanteloup-les-Vignes,1,1,0,0,0,1,0,1
Complexe Sportif de la Poupardière,1,0,0,1,0,1,0,1
Ecole de Chaspuzac,1,1,0,0,0,1,0,1
Terrain de Sport de la Grange aux Belles,1,0,0,1,0,1,0,1
Primaire Langevin B,1,0,0,1,0,1,0,1
Stade Sonny anderson,1,1,0,0,0,1,0,1
Tennis Club de La Frette,1,0,1,0,0,1,0,1
Olive et Tom Foot,1,0,0,1,0,1,0,1
7 & Match Mondragon,1,0,0,1,0,1,0,1
Gymnase ISETA-ECA,1,0,0,1,0,1,0,1
Campi calcio a 5 Flaminia Sette - San Gaetano,1,1,0,0,0,1,0,1
Terrain de sport Jean-Pierre Wimille,1,1,0,0,0,1,0,1
Stade Dominique Duvauchelle,1,1,0,0,0,1,0,1
Gymnase Berty Albrecht,1,0,0,1,0,1,0,1
Stade Nelson-Mandela,1,0,0,1,0,1,0,1
Stade Robert Astaud,1,0,0,1,0,1,0,1
Stadium FIVE Center,1,0,0,1,0,1,0,1
The Sports Park,1,0,1,0,0,1,0,1
Espace sportif Christian Chabrol,1,0,0,1,0,1,0,1
Stade de Charentonneau,1,0,1,0,0,1,0,1
Terrain de Draveil,1,0,0,1,0,1,0,1
Padel Marseille,1,0,1,0,0,1,0,1
Stade Dalmasso,1,1,0,0,0,1,0,1
