DOC_ID,CENTRE,STATUS,PLACE_ID,LOCATION,DATE
0CAvOPZHnr0dtiKnLt2R,Parc Interdépartemental des Sports du Tremblay,canceled,ChIJBVkfrQ4N5kcRGi-XnNQN_yo,48.8281085&2.491365,2023-11-18T15:30:00.000Z
0CB33Z4jnM9nlDp0oAoI,Stade Parfait Lebourg,canceled,ChIJXdP-tHUK5kcRzMpBMEOwKU8,48.69499829999999&2.5092223,2023-10-25T18:15:00.000Z
0CZJzbvNMjahumY1U3ad,Evolution Football,played,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2023-09-26T17:30:00.000Z
0Ck89PvAmzjG3zjKv9if,Play Soccer,played,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-29T17:30:00.000Z
0CkRc7K52hLJVC2s3yes,Élite 5 Soccer,canceled,ChIJ5-jfdlZk5kcRYIaELgvikaM,48.9009153&2.2297275,2023-11-09T17:30:00.000Z
0Cl8Ket1EqGJ5QppDJWe,Centre sportif Suzanne Lenglen,played,ChIJjyw8lw975kcRB8dEmGn3P0Q,48.8302835&2.2740847,2024-01-04T11:15:00.000Z
0CwLE8bcM1PvrWFmYJVF,LE FIVE Sarcelles,published,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,48.99782219999999&2.3902225,2024-01-11T23:00:00.000Z
0DEKlSnSJDyZIOCcXTiQ,Halle Georges Carpentier,published,ChIJnXkSwCty5kcR-nlHXNFQlg4,48.82020139999999&2.3672361,2024-02-12T14:30:00.000Z
0DPA0V2ieui5DQmmiAc1,UrbanSoccer La Défense,canceled,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-10-25T18:00:00.000Z
0DVIDjAMEj7HRqp1kzJx,Stade de foot Pompadour,canceled,,48.773015&2.432866,2023-09-03T11:00:00.000Z
0Dd3wQ6mBU19TluHUJqw,UrbanSoccer La Défense,played,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-12-23T15:00:00.000Z
0Dj26hTcMpWTICuX4lFU,Monclub Futbol,played,ChIJGbxxaamUyRIRgGvhHnhJStA,43.4299152&5.4001974,2023-12-21T18:00:00.000Z
0DpKJB4RF2d3yhhUD8xe,Foot POWER 5,played,,48.960066&2.2061913,2023-09-16T10:00:00.000Z
0DpWUgoEAzVtekPGJ80g,UrbanSoccer La Défense,canceled,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-03T11:00:00.000Z
0DxCXTr0GkqdLCFL9q9s,UrbanSoccer - Lille Lezennes,played,ChIJR3ro5nTWwkcRfM_S3Be9HjI,50.6169533&3.0995426,2023-12-30T18:00:00.000Z
0EUq7aKrcxHGNaE5biJZ,Evolution Football,played,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2023-12-11T20:30:00.000Z
0EZIYlUXVUXB6Y8YjO3y,Monclub Futbol,played,ChIJGbxxaamUyRIRgGvhHnhJStA,43.4299152&5.4001974,2023-10-25T19:00:00.000Z
0EbyFa7uBdJSGNiWMMI1,UrbanSoccer - Quai d'Ivry,canceled,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-10-08T13:30:00.000Z
0EhRNUdGVNoS4vmHR3Hr,Play Soccer,played,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-24T18:00:00.000Z
0EnNBiXbFPUU3Cn0Y6B2,Play Soccer,played,,43.5512023&1.4098927,2023-09-07T16:30:00.000Z
0ErIw8YEoWQsGTsDyEey,UrbanSoccer - Puteaux,played,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-09-28T10:00:00.000Z
0Ev4SGuNkbAInRIHyALh,Top Ten,published,,48.8729106&2.6840919,2023-11-16T22:00:00.000Z
0EwKRW03i3sJdiIqh9HN,UrbanSoccer - Marne-La-Vallée,canceled,ChIJ6bDBiosP5kcROXiloHzSdhc,48.82658600000001&2.6296937,2023-10-01T07:00:00.000Z
0F1hINcAPYLyA0Ti76Dw,Stadium Thiais,published,,48.7511024&2.3713455,2023-11-03T16:30:00.000Z
0F2QttKLhc0PImskn1dF,Stade Frères Nouali.,published,ChIJBx8zKDXzeA0RX_Z8eLNf2Yg,34.8504865&-1.7316045,2023-11-29T16:00:00.000Z
0FJTEyKf3TUKuKhs3M4h,Footsal,played,ChIJa7HS298pw0cRMoVDj0XqVdI,50.6397895&3.1251337,2024-01-11T19:00:00.000Z
0FKGm2akrTc7C5aaSCmL,Stadium Thiais,published,,48.7511024&2.3713455,2023-11-08T14:00:00.000Z
0FU8a6hPu2oVdP2Us6iV,BIG5,canceled,,48.9901429&2.3617895,2023-09-13T17:30:00.000Z
0Fu2MtqlMo1gZ5G2klkF,UrbanSoccer - Porte d'Aubervilliers,played,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2023-12-03T14:45:00.000Z
0FuNcNN1R4kASiEXx7qi,LE FIVE Créteil,published,,48.7643086&2.4706522,2023-11-18T14:30:00.000Z
0GFsepnl0Pu1nUGZmoiT,LE FIVE Paris 13,published,,48.8181615&2.3658793,2023-10-17T21:00:00.000Z
0GHN4RAgK2f9eaINmOT5,Stade Olympique Yves du Manoir,canceled,ChIJYeUIntpl5kcRZsN35flVVAY,48.9292771&2.2477717,2023-12-31T14:00:00.000Z
0GNizgs9iPSDgiYb6rN5,Foot POWER 5,published,,48.960066&2.2061913,2023-10-24T20:30:00.000Z
0GRmX1q6KptyH32yTFdT,UrbanSoccer - Lille Bondues,played,ChIJ58ZerMgrw0cR2Jyp7tZjBn4,50.6913774&3.0860264,2023-10-31T19:30:00.000Z
0GYMyfTLBkWUK0wq88Sp,Le 13 - Foot en salle - Marseille,canceled,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2023-09-27T18:00:00.000Z
0Gaqc3qERngNlbeuULeL,Foot-Max Argenteuil,published,,48.9501632&2.2093946,2023-09-12T17:00:00.000Z
0GwlfUBfosR1Lkh54RSV,LE FIVE Paris 18,played,,48.8978522&2.3700234,2024-01-08T16:00:00.000Z
0H9cmZrw3CHBvVPLUGKu,Stadium Thiais,published,,48.7511024&2.3713455,2024-01-23T14:00:00.000Z
