CREATED;TIMES;USER;WEEKDAYS;PLACES
06/02/2024;10:00 11:00 12:00 13:00 14:00 15:00 16:00 17:00 18:00 19:00 20:00 21:00 10:30 11:30 12:30 13:30 14:30 15:30 16:30 17:30 18:30 19:30 20:30 21:30 22:00;0kGqbMd4MaHLQyc6c76d;1 2 3 4 5 6 7;UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc Top Ten-ChIJfXprBx4b5kcRmhe-5pLZUek
27/02/2024;20:00 19:00 19:30 20:30 21:00 21:30;0ko1wjmjzgLiApVNsjVP;3;FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY LE FIVE Sarcelles-ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q BIG5-ChIJsb_7TJFp5kcRSPL5VqZulr4
02/03/2024;20:00 21:00;0mu7eDJpLRFUcUolGpZ5;2 4;UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI LE FIVE Colomiers-ChIJ8wxhgGexrhIRm698kMPQIRw Play Soccer-ChIJQ-UxZn-5rhIRKWoQydM5T9s Events Five-ChIJf8cSCJG5rhIRoQadPH-wW1U
01/03/2024;19:00 20:00 21:00 22:00 23:00 19:30 20:30 21:30 22:30 23:30;0nWHG6mFxcMAxFXMdvZE;5;UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ
08/03/2024;0,875;0o7aIqJe8NP99ayJb7G7;5 6 7;Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU
13/03/2024;0,75;0uNzPJ264tkec9j1KTVJ;3;Game 13 foot indoor-ChIJNSDvlsXryRIRUXao9hwB79I
10/03/2024;11:00 10:00;0y1asfqNUKbjqzfbPORZ;2 1;LE FIVE Morangis-ChIJA4uAhOXZ5UcRp-vZXZP-ovY LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk VERSUSFOOT Thiais-ChIJn2R2NT905kcRjqB29qldBxk Speed Soccer Five-ChIJ2xTNglV25kcR3UDi4AXGfDU B14 - Sports et Loisirs Indoor-ChIJaeLKMYXe5UcRHyWJ8X8FaPA
03/03/2024;10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00;0zoYhmgdPZQaAANBIkBR;1 5 7;UrbanSoccer Bordeaux-Pessac-ChIJTZ1wTCnZVA0Ra5hHoMEPn3I Bordeaux Soccer-ChIJCRHQufUoVQ0RmXgf8oHOE08 Futbol Futbol Artigues-ChIJZziKe5cvVQ0R5tJa9BeDd8o LE FIVE Bordeaux-ChIJteaBh_koVQ0RqH2VtN-qL5I
27/02/2024;20:00 19:00 19:30 20:30 21:00;14PRSHp89uAIHmtbUUee;3 5;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
26/02/2024;0,791666667;1AFCGshNh0FizPAQiu1k;2 4;UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ
28/02/2024;18:00 19:00 20:00 21:00;1BIirGWrMEJ3PXIclxnA;4 3 5;LE PARK Servon-ChIJMU8gErUJ5kcRSnpvacKwFtM
18/02/2024;17:00 16:00 18:00 19:00 20:00 21:00 22:00 16:30 17:30 18:30 19:30 20:30 21:30;1DmxTh8UDz9chkly4UpO;1 2 3 4 5 6 7;Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc
08/03/2024;14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:30 19:00 20:30 20:00 21:30 21:00 22:00 22:30;1H5y6yCuWNGSnOiydNtl;1 2 3 4 5 6 7;L’arena 25-ChIJ71LolYsXkkcR7VdcRrTaovo
