DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
0WCv1tt7V1hOzdfrUgzn,UrbanSoccer - Asnières,canceled,captain,ChIJi5LkLT9v5kcRSlhScqEFNWs,48.92192379999999&2.3068311,2024-02-11T12:00:00.000Z,60,12,public,true,Compétition,3,GDQkYsP4cmaV59rDBQyFzKNNlC43,9,10,0,0,0,0,0
0WQXpajatuBFoqQybR27,LE FIVE Bobigny,draft,captain,ChIJV8UONORs5kcRXxR5Qd7x130,48.901553&2.4313304,2024-01-20T22:00:00.000Z,60,,private,false,,,MGNF9Ny5JzXLJOhI5Sq2VzCA6AE2,0,0,0,0,0,0,0
0WnjH4PFfOns6gKlcBQb,Sport dans la Ville Rhône-Alpes,played,captain,ChIJoUEDcmvr9EcRILCz6hDCQ2o,45.7811703&4.8081568,2024-01-31T19:30:00.000Z,60,9,public,false,Détente,2,uJuZeaSxeKZHfIQMQeux7T0osqz2,10,10,4,0,0,0,0
0XQL0khF1O173EyZlfJ0,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-01-24T11:00:00.000Z,60,7,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
0aLlbxtRmW8OUJROvm6f,LE FIVE Paris 13,played,captain,ChIJ_bOSChhz5kcRZMTeq_6Gdzg,48.8181615&2.3658793,2024-01-21T09:00:00.000Z,60,5,public,true,Détente,2,HCIZn58X0Ac5YB1vzTLeOt4ceMI3,10,10,0,0,0,0,0
0aT3loI84WziGD9BTbqE,LE FIVE Bezons,played,pro,,48.91909&2.2093051,2024-02-05T17:00:00.000Z,60,7,public,false,,,U3MriTZbPbTUEsU6RtRuHxDMKvg2,10,10,7,0,0,0,2
0aptS4LuwoH5v3AzCWbc,Centre Sportif Lionel Terray,played,captain,ChIJo7Jtup935kcRUd9lcEtEKzc,48.7349914&2.287439,2024-02-11T07:00:00.000Z,90,10,public,false,Détente,3,Dohg1zNvhsbmGrYuAmExKFyjruw2,10,10,0,0,0,0,0
0bhc1tvHOG3tcFwhPlf0,Stadium Thiais,played,pro,,48.7511024&2.3713455,2024-02-11T19:30:00.000Z,90,15,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,10,10,7,0,0,0,4
0bpwuZuOBILAOaOn2DvM,UrbanSoccer Evry,played,captain,ChIJW0Ut1G7e5UcRt621n2fRQ5M,48.6286849&2.4066366,2024-01-31T18:00:00.000Z,60,10.5,public,true,Détente,3,skdImcC356gXtpfOKF9IKerIpWO2,10,10,4,0,0,0,1
0cRZ8iBWG4yROk4K3EWt,Stade Makowski,played,captain,ChIJvShnxJpt5kcRwdqlaq1s3E0,48.9090365&2.436058,2024-01-28T09:00:00.000Z,150,,public,false,,4,FmWwP3CHDDPrKuS9tlikkebaorJ3,14,14,6,1,1,0,3
0ciD2aIiRFhY0TH5JBOx,Evolution Football,played,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2024-01-30T18:30:00.000Z,60,9,private,false,Détente,5,Lzo7WogBgXfxjsbuEBGvB9HLjxv1,10,10,10,0,0,0,0
0dlj0X1cAbi1Se29OfrY,Terrain de football extérieur,played,captain,ChIJ05tyRmlt5kcRMz1mc81GAoY,48.8578959&2.4479048,2024-02-10T10:00:00.000Z,90,,public,false,Compétition,2,zw5zeYobh6ZNDTU8fpsRwguMbPn2,10,10,3,0,0,0,0
0e5FG66pAapSNde6kt5z,Speed Soccer Five,published,pro,,48.7360598&2.315058,2024-03-13T17:00:00.000Z,90,13,public,false,,,MkTJljXziPXBdRdijccndMLBNCC3,0,10,0,0,0,0,0
0erCehmdmXnQsJEVNDzO,Centre Sportif Jules Noël,published,captain,ChIJWZM9NFJw5kcRDJY_s1u1Er4,48.8241549&2.3145477,2024-01-26T17:00:00.000Z,120,,public,false,Compétition,5,oKfGVfs7dYecPpobKfuTXiuhh8J3,2,14,0,0,0,0,0
0erXq65bF1CwBniLinv0,Top Ten,published,pro,,48.8729106&2.6840919,2024-02-24T15:30:00.000Z,90,15,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,0,10,0,0,0,0,0
0fGS6Uhapt3wYxnqrQGX,LE FIVE Marville - La Courneuve,published,pro,ChIJ2dHdMZxr5kcR0aKYHYsp0pY,48.9361223&2.3872592,2024-02-10T08:00:00.000Z,60,10,public,false,,,1GfAHFfqO6dOj37bPrTRuDS5gnk1,0,10,0,0,0,0,0
0geO6HL99IbrEyo1utY6,Top Ten,published,pro,,48.8729106&2.6840919,2024-02-05T11:00:00.000Z,90,5,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,0,10,0,0,0,0,0
0js2op3zisAS8rS2CyZ5,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-02-01T11:00:00.000Z,60,11,public,true,Détente,3,WQ5S4tuh8AhHhITkAMce3yq8gRm2,10,10,10,0,0,0,2
0kRFhTGpwtG4wQ7rYBbm,Stade Charles Finaltéri,played,captain,ChIJfbzI1FVi5kcRzArhoMMv0w8,48.9004245&2.1419859,2024-01-21T14:30:00.000Z,90,,public,false,Détente,,A8ZAUgNn0NWvak5h3rxMyRIQpMf2,10,10,2,0,0,0,0
0l62QAKgLdtRKpZTAzQh,Play Soccer,played,captain,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2024-01-23T18:30:00.000Z,60,10,public,false,,,8LtkeOuZHeePxfkXdNPmQSr7V9L2,10,10,2,0,0,0,0
0lotNvdWwFXEzH6cKVeb,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-30T21:00:00.000Z,60,14,public,true,Compétition,3,gP8yCfO5CueVxeNTHrj86LFBJS72,10,10,0,0,0,0,0
0mFyxb29SraPWK0o6uTd,STADIUM FOOT 5 VILLAGE,played,captain,ChIJbbOWFtC4yRIR0WXVerbWmnE,43.269413&5.4260321,2024-02-07T20:00:00.000Z,60,10,public,false,Détente,3,Vd2POI30scVRCHez3UyUHk7uuHx1,10,10,1,0,0,0,0
0me4PWOsnRO3B3EOOP0N,Evolution Football,canceled,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2024-02-09T19:20:00.000Z,60,9,public,false,Détente,3,VTpy8cfS6iO3e8qxXAdQLz4pNxi1,9,10,0,0,0,0,0
0mrlVIGdtcsUvyVRj6pO,Cité des Sports,canceled,captain,ChIJ70UPf6R75kcRGb3NAV9k7Ww,48.8247744&2.2650728,2024-01-24T11:15:00.000Z,90,,public,false,Détente,2,Vu4Mh1iuRtZb5xqP2fgfcW12n0V2,10,16,0,0,0,0,1
0my2J0IxIWU2lVzvvuYv,Play Soccer,played,captain,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2024-02-03T19:00:00.000Z,60,9,public,false,Compétition,4,LMjhM6QREuXl67xvJa5sHUO0iIv1,10,10,3,0,0,0,0
0otZM2VOzVzO2ny3yiSk,LE FIVE Champigny,canceled,captain,ChIJsXi1PLYN5kcRTVVDuczgS2s,48.8194084&2.5251846,2024-01-31T20:30:00.000Z,60,10,public,false,Compétition,3,fDs9xiqgUkQanmo7rTz0mJR0joj1,9,10,0,0,0,0,0
0ovQOqz6RpNxqmjxcys6,Stadium Thiais,canceled,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-26T16:45:00.000Z,90,,public,false,Compétition,4,5EeXakeQlrMNtVomjPsNv5syEp02,10,10,0,0,0,0,1
0pCADMaqlzD5s9fg3hxr,Footbox,published,pro,,48.9022789&2.582647,2024-02-23T15:00:00.000Z,60,7,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
0poPMm51CfsMsFlpuxfa,Z5 Aix,played,captain,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2024-02-07T19:30:00.000Z,60,11,public,false,Détente,3,yJ5LcR37dlhfJSLUDesg5VNotET2,10,10,1,0,0,0,1
0sdsY5DlYUS3iVDFZDS5,LE FIVE Marville - La Courneuve,played,captain,ChIJ2dHdMZxr5kcR0aKYHYsp0pY,48.9364404&2.3869147,2024-01-20T21:30:00.000Z,90,15,public,false,Compétition,5,nGa8cXRstNVjUpVwM5lVfJih2O62,10,10,1,0,0,0,0
0tDiAvTO74CGbiqbR13V,LE FIVE Bezons,played,captain,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190524&2.211796,2024-01-29T18:30:00.000Z,60,11,public,true,Détente,3,lUX4K4K1q8QJOO95yUSLpsCIHGI3,10,10,2,0,0,0,0
0tKEhzCzHndjesvyqJHF,Evolution Football,played,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2024-01-23T20:00:00.000Z,60,8.5,public,false,Détente,3,Mbm7PMhXKBZQXZa0aXm24d0dVrq1,10,10,3,0,0,0,0
0ukhAFao1UBJMLTUBJGZ,LE FIVE Bezons,published,captain,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190524&2.211796,2024-02-11T15:45:00.000Z,60,10,public,true,Compétition,4,6jx3qyjJjmd0lpo4579xf33gMXy2,4,10,0,0,0,0,1
0vAhPaGKzv7LztJIEgGN,Foot-Max Argenteuil,played,captain,ChIJi9oIzaRm5kcRJYcK7QsdRMU,48.9501569&2.2093741,2024-02-04T18:00:00.000Z,90,12,private,false,Compétition,4,EBkyQKZSThSt50tqVxjcFaiJK922,10,10,4,0,0,0,0
0vvCruUIozgL0MUihpSa,Top Ten,published,pro,,48.8729106&2.6840919,2024-02-15T11:00:00.000Z,90,5,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,0,10,0,0,0,0,0
0w8SnccHki2ctayizegS,Top Ten,published,pro,,48.8729106&2.6840919,2024-03-11T16:00:00.000Z,90,5,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,0,10,0,0,0,0,0
0wCawi1kxArxTVdlnoBx,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-01-23T15:00:00.000Z,90,8,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
0wsqmgye1yCal5kw84sl,UrbanSoccer - Porte d'Aubervilliers,played,captain,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2024-02-12T20:30:00.000Z,60,15,public,true,Détente,,WptjeIaHlLVJsLk8BQvdwgAbS0J3,10,10,1,0,0,0,0
0xCxIVj33mJiEl3IOwfo,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-01-27T13:00:00.000Z,90,15,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,0
0yysCmsWG6Wfk86pQepa,BIG5,canceled,captain,ChIJsb_7TJFp5kcRSPL5VqZulr4,48.9901429&2.3617895,2024-01-26T17:00:00.000Z,90,12.5,public,false,Détente,2,Chm0vKbUfDYquOEtsL0K7Obl5O52,3,10,0,0,0,0,0
0zj6ShKSVwBTZLBeRXz6,Footbox,published,pro,,48.9022789&2.582647,2024-03-01T15:00:00.000Z,60,7,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
10VIyK1nOzkT6L3rpEWz,LE FIVE Bobigny,published,pro,,48.901553&2.4313304,2024-02-02T17:00:00.000Z,60,8,public,false,,,4owi3i7t8EOvFNF6UQvACOpiDRy1,3,10,0,0,0,0,0
11DEDQrfifYl78qHgf80,Footbox,published,pro,,48.9022789&2.582647,2024-02-27T18:00:00.000Z,60,10,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
