DOC_ID,MESSAGE,DATE
Q3GT49Lm9sBfv8HsPxHQ,MAS,2023-11-08T23:09:43.279Z
Q4ccf3SbIzRvZFRgW7sw,Man united,2024-01-21T12:38:37.978Z
QL1JW9TgnmF4Pxump9M5,JSK,2023-11-24T20:06:39.332Z
QLxlEw53PB8sX0VO5KJy,USM EL Harrach,2023-08-05T04:04:14.541Z
QRRkt4A9u6ps2nOge40b,Raja club athlétique ,2023-10-07T13:12:00.295Z
QnS94hINBURJlGygYmo7,mitry-mory,2023-10-22T07:35:05.704Z
QqCpH40Y8vzWfW9VqTBO,Algérie,2024-01-14T15:34:16.431Z
R5t3h37ntYihvoaupp6B,Wydad athletic club,2023-09-21T06:31:09.066Z
R6OdZs1MxowhvnZtJgzk,Assec,2023-08-17T12:07:06.084Z
RGwop7mmjoXsQdPHjOdK,Fc Barcelone ,2024-01-12T12:38:23.659Z
RIico5aDLqACnQTru2TU,Club sport sfaxien,2023-11-29T22:19:23.314Z
RWawYKWRSZn5ujXBmK5o,Raja club athlétic,2023-10-10T12:12:33.669Z
RZS7rl88HYYxdrx7VsR9,CD Tenerife ,2023-09-19T13:27:28.278Z
RbKBMRlGv7HRoahTb1zP,Raja Casablanca ,2023-12-23T11:39:55.325Z
Rw5Hkbaio20i53HBZlUe,Raja Casablanca ,2023-09-19T18:46:35.026Z
RzT7z693377FttCZeCUy,Étoile Sportive du Sahel (ESS),2023-12-02T10:01:56.442Z
SBI9bG0VGhpoKCUIDw7G,Atlético Nacional de Medellin ,2023-12-10T22:05:56.568Z
SYN4gYnoPA7DYS3C7MAl,Grenoble Foot 38,2023-11-15T10:01:42.039Z
SdjHfbIO9vVJ7BLB7s0X,Raja casablanca,2024-01-02T21:38:29.181Z
Sp7PYAKiB6cOgH6q3dgd,Grenoble Foot 38 ,2023-09-14T17:59:39.264Z
SplviLDz5DLCkh7mtKN5,Raja Casablanca,2023-10-22T20:50:02.652Z
