DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
DIuyiJ3Wp2UNnfBeiXx6,LE FIVE Paris 17,published,captain,,48.900032&2.3213449,2023-08-06T17:00:00.000Z,60,10,,public,true,Détente,3,nUZUW578xycIdUBtuYrZWxYufV82,6,10,0,0,0,0,0,on-site
JSwrT99iyki17aTIpyEh,KIPSTADIUM : Centre de Pratique dédié aux Sports Collectifs,draft,captain,,50.7085083&3.1733057,2023-08-06T17:00:00.000Z,60,,,public,false,,,mIAVAjJ4ifSuETVwUKMJkX6wZNn1,0,0,0,0,0,0,0,on-site
ZDnAM2rr4Ec9YBqbgi4t,SOCCER CENTER,published,captain,,43.5462821&5.3653171,2023-08-07T17:00:00.000Z,60,9,,public,false,Détente,3,uAEut48qBDUb9yI8BZY79qCquMq1,0,10,0,0,0,0,0,on-site
W1Q8lipxkvniyikEfobR,Foot paris,published,captain,,48.8904693&2.3731397,2023-08-08T09:00:00.000Z,120,,,public,false,Compétition,5,6g66Hr0t8ESpVJkqTW80lI9cRdr2,6,10,0,0,0,0,0,on-site
ZwQcaP9OzfH3coSTxoLI,Stade de la Tour aux Parachutes,canceled,captain,,48.8175176&2.3643354,2023-08-08T10:00:00.000Z,120,,,public,false,Compétition,3,YXwnrnnMdnSilVxz08v2HLr4EJC3,1,16,0,0,0,0,0,on-site
se2RN3QONlWb3oW69xLY,Stade de la Motte,played,captain,,48.9122843&2.4229561,2023-08-08T15:30:00.000Z,90,,,public,false,Détente,,rQpZqtb886WYG3UBGpATyxXOqCG3,14,14,0,0,0,0,0,on-site
vROdgTYEf8rEANH2k8vC,UrbanSoccer - Marne-La-Vallée,played,captain,,48.82658600000001&2.6296937,2023-08-08T17:00:00.000Z,60,,,public,false,,3,OopqshuYWVYaIhlWgAiutvwIPtt1,10,10,0,0,0,0,2,on-site
1BppOq6LOKMSfnYizGzV,UrbanSoccer La Défense,canceled,captain,,48.8996456&2.2216773,2023-08-08T17:30:00.000Z,60,,,public,true,Détente,3,KkNbjSSYYOfaBZmBg80ynwbhuFn2,8,10,0,0,0,0,0,on-site
OMWTom5gbYyTiyfLXlyj,UrbanSoccer La Défense,canceled,captain,,48.8996456&2.2216773,2023-08-08T17:30:00.000Z,60,14,,public,true,Détente,3,KkNbjSSYYOfaBZmBg80ynwbhuFn2,8,10,0,0,0,0,0,on-site
TwIM0qnDPYXRu4TuGvH7,Stadium Thiais,canceled,captain,,48.7511024&2.3713455,2023-08-08T17:30:00.000Z,90,15,,public,false,Détente,2,a2O1yps8OXUy0836x31Wjwjwv023,9,10,0,0,0,0,0,on-site
lwSgU7Rc4PkZdzGqvLTe,UrbanSoccer La Défense,canceled,captain,,48.8996456&2.2216773,2023-08-08T17:30:00.000Z,60,,,public,true,Détente,3,KkNbjSSYYOfaBZmBg80ynwbhuFn2,8,10,0,0,0,0,0,on-site
jMOK9upesYCsNujlz9wl,UrbanSoccer - Lille Bondues,canceled,captain,,50.6913774&3.0860264,2023-08-08T18:00:00.000Z,60,10,,public,false,Détente,4,FfODf1K4wxQF0dc4cH43GeK7Kd23,7,10,0,0,0,0,0,on-site
ZQo5QtIZTTPThB3CvniD,UrbanSoccer - Lille Bondues,canceled,captain,,50.6913774&3.0860264,2023-08-08T18:15:00.000Z,60,11,,public,false,Détente,4,GlSaj2QmyFgb8leAblrirTixsGk1,9,10,0,0,0,0,0,on-site
zm0gj7veh0YmMKYnYSd8,LE FIVE Champigny,published,captain,,48.8194084&2.5251846,2023-08-09T17:00:00.000Z,90,15,,public,true,Compétition,5,KRTHNB4A4hV2COfDTvmRJwijRzD3,7,10,0,0,0,0,0,on-site
KTfV9yJOLsWrFT8GE0rT,UrbanSoccer - Lyon Parilly,canceled,captain,,45.7120399&4.9039284,2023-08-10T16:20:00.000Z,60,,,public,false,Détente,3,ePJEIgyTyOTip4uLRsxNYnhs70M2,9,10,0,0,0,0,0,on-site
NWfOAIBFDhc5yLx0nwrN,UrbanSoccer - Lyon Parilly,canceled,captain,,45.7120399&4.9039284,2023-08-10T16:20:00.000Z,60,,,public,false,Détente,2,ePJEIgyTyOTip4uLRsxNYnhs70M2,9,10,0,0,0,0,0,on-site
fQar0WoJ19QlZReMQqhC,SOCCER CENTER,published,captain,,43.5462821&5.3653171,2023-08-10T17:00:00.000Z,60,9,,public,false,Détente,3,uAEut48qBDUb9yI8BZY79qCquMq1,0,10,0,0,0,0,0,on-site
